SITENAME	SITEID	Local Authority	Filename including path
Chopwell Wood	GAT 34	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT34 Chopwell Wood.pdf
Chopwell Wood Riverside	GAT 35	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT35 Chopwell Wood Riverside.pdf
Clara Vale Pond	GAT 36	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT36 Clara Vale Pond.pdf
Clara Vale Pit Yard	GAT 37	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT37 Clara Vale Pit Yard.pdf
Clockburn Dene Wood	GAT 38	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT38 Clockburn Dene Wood.pdf
Clover Hill	GAT 39	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT39 Clover Hill.pdf
Coalburns Waggonway	GAT 40	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT40 Coalburn Wagonway.pdf
Crawcrook Quarry	GAT 41	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT41 Crawcrook Quarry.pdf
Crookhill Pasture	GAT 42	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT42 Crookhill Pasture.pdf
Damhead Wood	GAT 43	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT43 Damhead Wood.pdf
Derwent Bridge Wood	GAT 44	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT44 Derwent Bridge Wood.pdf
Lockhaugh Sewage Works	GAT 45	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT45 Lockhaugh Sewage Works.pdf
Dunkirk Farm West	GAT 47	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT47 Dunkirk Farm West.pdf
Dunston Hill Pond	GAT 48	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT48 Dunston Hill Pond.pdf
Dunston Pond (Acer Pond)	GAT 49	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT49 Dunston Pond _Acer Pond_.pdf
Fell Farm	GAT 50	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT50 Fell Farm.pdf
Felling Shore	GAT 51	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT51 Felling Shore.pdf
Fellside Pond West	GAT 52	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT52 Fellside Pond West.pdf
Fortune Hill	GAT 53	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT53 Fortune Hill.pdf
Guards Wood	GAT 55	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT55 Guards Wood.pdf
Hagg Hill Wood	GAT 56	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT56 Hagg Hill Wood.pdf
Hagg Wood/Gill and Mitcheson's Gill	GAT 57	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT57 Hagg Wood Gill & Mitcheson's Gill.pdf
Halliwell Dene	GAT 58	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT58 Halliwell Dene.pdf
Hedgefield Quarry	GAT 59	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT59 Hedgefield Quarry.pdf
Sunniside Park	GAT 6	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT06 Sunniside Park.pdf
Hollinhill Wood	GAT 60	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT60 Hollinhill Wood.pdf
Huntley Gill	GAT 61	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT61 Huntley Gill.pdf
Image Hill	GAT 63	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT63 Image Hill.pdf
Lands Wood	GAT 65	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT65 Lands Wood.pdf
Lintzford Wood	GAT 67	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT67 Lintzford Wood.pdf
Long Acre Wood	GAT 69	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT69 Long Acre Wood.pdf
Victoria Garesfield	GAT 7	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT07 Victoria Garesfield.pdf
Low Thornley Dene	GAT 70	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT70 Low Thornley Dene.pdf
Mill Bank Wood	GAT 71	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT71 Mill Bank Wood.pdf
Mill Wood	GAT 72	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT72 Mill Wood.pdf
Milkwellburn Wood (Streamside)	GAT 73	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT73 Milkwellburn Wood _Streamside_.pdf
Milkwellburn Wood	GAT 74	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT74 Milkwellburn Wood.pdf
Lamesley Meadows	GAT 75	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT75 Lamesley Meadows.pdf
Mount Escob	GAT 76	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT76 Mount Escob.pdf
Washingwell Wood	GAT 8	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT08 Washingwell Wood.pdf
Tidal River Derwent	GAT 84	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT84 Tidal River Derwent.pdf
Stanley Burn Wood South	GAT 100	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT100 Stanleyburn Wood South.pdf
Stargate Ponds/ Bewes Hills	GAT 101	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT101 Stargate Pond_Bewes Hill.pdf
Strothers Riverside	GAT 103	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT103 Strothers Riverside.pdf
Sunniside Wood	GAT 104	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT104 Sunniside Wood.pdf
Swalwell Meadow	GAT 105	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT105 Swalwell Meadow.pdf
Tongue Burn Wood	GAT 106	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT106 Tongue Burn Wood.pdf
Urpeth Bottoms	GAT 107	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT107 Urpeth Bottoms.pdf
West Wood and Gibside Chapel	GAT 109	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT109 West Wood and Gibside Chapel.pdf
Windy Nook Nature Park	GAT 110	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT110 Windy Nook Nature Park.pdf
Wylam Riverside	GAT 111	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT111 Wylam Riverside.pdf
Blaydon Quarry	GAT 112	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT112 Blaydon Quarry.pdf
Cappy Scar	GAT 113	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT113 Cappy Scar.pdf
Clinty Wood	GAT 114	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT114 Clinty Wood.pdf
Cooper's Wood	GAT 115	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT115 Coopers Wood.pdf
Eels Wood	GAT 117	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT117 Eels Wood.pdf
Fellside Pond East	GAT 118	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT118 Fellside Pond East.pdf
Shibdon Pond West	GAT 120	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT120 Shibdon Pond West.pdf
Westfield Pasture	GAT 121	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT121 Westfield Pasture.pdf
Barlow Gill Wood	GAT 122	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT122 Barlow Gill Wood.pdf
Whitehills	GAT 123	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT123 Whitehills.pdf
Bog Wood (Clara Vale)	GAT 124	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT124 Bog Wood _Clara Vale_.pdf
Bradley Park	GAT 125	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT125 Bradley Park.pdf
Broomfield Meadow	GAT 126	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT126 Broomfield Meadow.pdf
Burdon Moor (Blackburn Fell)	GAT 127	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT127 Burdon Moor _Blackburn Fell_.pdf
Clinty Wood East	GAT 128	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT128 Clinty Wood East.pdf
Coalburn Plantation	GAT 129	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT129 Coalburn Plantation.pdf
Cross Lane Meadows	GAT 130	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT130 Cross Lane Meadows.pdf
Hedley Hall Wood	GAT 131	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT131 Hedley Hall Wood.pdf
Horsegate Paddock	GAT 132	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT132 Horsegate Paddock.pdf
Jacky's Plantation	GAT 133	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT133 Jackys Plantation.pdf
Kittiwake Tower	GAT 134	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT134 The Kittiwake Tower.pdf
Lillycrook Hill	GAT 135	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT135 Lillycrook Hill.pdf
Manor Gardens	GAT 136	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT136 Manor Gardens.pdf
Norwood Nature Park	GAT 137	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT137 Norwood Nature Park.pdf
Path Head Quarry	GAT 138	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT138 Path Head Quarry.pdf
Stella Lane Pasture	GAT 139	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT139 Stella Lane Pasture.pdf
Tanfield Railway Sidings	GAT 140	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT140 Tanfield Railway Sidings.pdf
Watergate Forest Park Lake	GAT 141	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT141 Watergate Forest Park Lake.pdf
Whickham Thorns	GAT 142	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT142 Whickham Thorns.pdf
Beda Hills	GAT 18	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT18 Beda Hills.pdf
Chopwell Bomb Ponds	GAT 33	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT33 Chopwell Bomb Ponds.pdf
Strother Hills	GAT 5	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT05 Strother Hills.pdf
Ousbrough Wood	GAT 77	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT77 Ousbrough Wood.pdf
Path Head Meadow	GAT 78	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT78 Path Head Meadow.pdf
Pelaw Quarry	GAT 79	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT79 Pelaw Quarry.pdf
Ravensworth Ponds and Wood	GAT 82	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT82 Ravensworth Ponds and Wood.pdf
Reeley Mires West Wood	GAT 83	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT83 Reeley Mires West Wood.pdf
River Team saltmarsh	GAT 85	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT85 River Team Saltmarsh.pdf
"River Tyne, Tidal Mud"	GAT 86	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT86&87 River Tyne Tidal Mud.pdf
"River Tyne, Tidal Mud"	GAT 87	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT86&87 River Tyne Tidal Mud.pdf
"Holburn Dene, Ryton"	GAT 91	Gateshead	"C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT91 Holburn Dene, Ryton.pdf"
Ryton Runhead	GAT 92	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT92 Ryton Runhead.pdf
Ryton Woodside	GAT 93	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT93 Ryton Woodside.pdf
Sheddon's Hill	GAT 94	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT94 Sheddon's Hill.pdf
Shibdon Meadow	GAT 95	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT95 Shibdon Meadow.pdf
Sled Lane Pond/Crookoe Wood	GAT 96	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT96 Sled Lane Pond - Crookoe Wood.pdf
Spen Banks	GAT 97	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT97 Spen Banks.pdf
Spen Denes	GAT 98	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT98 Spen Denes.pdf
Stanleyburn Wood North	GAT 99	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT99 Stanleyburn Wood North.pdf
North Burn Marsh	HP01	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 1 North Burn Marsh LWS.pdf
Crookfoot Reservoir	HP10	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 10 Crookfoot Reservoir.pdf
Amerston Gill Woodland	HP11	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 11 Amerston Gill LWS.pdf
Power Station Grassland and Wetland	HP12	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 12 Hartlepool Power Station LWS.pdf
Thorpe Bulmer and West Crimdon Denes	HP13	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 13 Thorpe Bulmer Dene LWS.pdf
Greenabella Marsh	HP14	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 14 Greenabella Marsh LWS.pdf
Close Woods Complex	HP15	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 15 Close Wood complex LWS.pdf
Bellows Burn Marsh	HP16	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 16 Bellows Burn Fen LWS.pdf
Whelly Hill Quarry Grassland	HP17	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 17 Whelly Hill Quarry LWS.pdf
Whelly Hill Quarry Grassland  LGS	HP17	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 17 Whelly Hill Quarry LWS.pdf
Greatham Beck	HP18	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 18 Greatham Beck LWS.pdf
Hart Quarry	HP19	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 19 Hart Quarry LWS.pdf
The Howls Woodland	HP02	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 2 The Howls LWS.pdf
Gunnersvale Marsh	HP20	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 20 Gunnersvale Marsh LWS.pdf
The Slake Saltmarsh	HP21	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 21 The Slake LWS.pdf
Brierton Quarry Grassland	HP22	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 22 Brierton Quarry LWS.pdf
Tilery Gill Grassland	HP23	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 23 Tilery Gill LWS.pdf
Elwick Hall Grassland	HP24	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 24 Elwick Hall LWS.pdf
Greatham Creek North Bank Saltmarsh	HP25	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 25 Greatham Creek North Bank LWS.pdf
West Carr Plantation	HP26	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 26 West Carr Plantation LWS.pdf
Saltern Saltmarsh	HP27	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 27 Greatham North LWS.pdf
Phillips Tank Farm Grassland	HP28	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 28 Philips Tank Farm LWS.pdf
Tot Fenny's Meadow	HP29	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 29  Tot Fenny's Field LWS.pdf
Crimdon Road Verge	HP03	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 3 Hart to Haswell Walkway LWS.pdf
Hart-Haswell Walkway	HP03	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 3 Hart to Haswell Walkway LWS.pdf
Spion Kop Cemetery Grassland	HP30	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 30 Spion Kop LWS.pdf
North Hartlepool Dunes	HP31	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 31  North Hartlepool Dunes LWS.pdf
Brenda Road Brownfield	HP32	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 32 Brenda Road Brownfield LWS.pdf
Craddon Bank Grassland	HP33	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 33 Craddon Bank LWS.pdf
Hart Cutting Grassland	HP34	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 34 Hart Cutting LWS.pdf
Rossmere Park Island Heronry	HP35	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 35  Rossmere Park LWS.pdf
Hartville Meadow	HP36	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 36 Hartville Meadow LWS.pdf
High Stotfold Gill Meadow	HP37	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 37 High Stotfold Gill LWS.pdf
Queen's Meadow Wetland	HP38	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 38 Queens Meadow LWS.pdf
High Newton Hanzard Verges	HP39	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 39 High Newton Hanzard Meadow LWS.pdf
Hart Warren Railway Embankment Grassland	HP04	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 4 Hart Warren Railway embankment LWS.pdf
Char Beck Grassland	HP40	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 40 Char Beck Grassland LWS.pdf
Zinc Works Bird Field	HP41	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 41 Zinc Works Field LWS.pdf
Butts Lane Field Margins	HP42	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 42  Butts Lane LWS.pdf
Central Park Grassland	HP43	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 43 Central Park Embankment LWS.pdf
Summerhill Country Park	HP44	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 44 Summerhill LWS.pdf
Seaton Common	HP45	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 45 Seaton Common LWS.pdf
Brenda Road Sewage Works Grassland	HP46	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 46 Brenda Road Sewage Works LWS.pdf
Coronation Drive Orchid Embankment	HP47	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 47 Coronation Drive Orchid Embankment proposed LWS.pdf
Naisberry Quarry Grassland	HP05	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 5 Naisberry Quarry LWS.pdf
Naisberry Quarry LGS	HP05	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 5 Naisberry Quarry LWS.pdf
Black Wood Marsh	HP06	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 6 Black Wood Marsh LWS.pdf
Pawton Hill Grassland	HP07	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 7 Pawton Gill LWS.pdf
Beacon Hill Flush	HP08	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 8 Beacon Hill Marsh LWS.pdf
Carr House Sands and West Harbour	HP09	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 9 Carr House Sands and West Harbour LWS.pdf
West Harbour	HP09	Hartlepool	C:\ERIC\LWS Citations\Tees Valley\Hartlepool\PDFs\HP 9 Carr House Sands and West Harbour LWS.pdf
Beacon Hill Quarry	1	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Beacon Hill Quarry.pdf
Cleadon Pumping Station	10	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Cleadon Pumping Station (ST8).pdf
Cleadon Quarry	11	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Cleadon Quarry (ST9).pdf
Cotman Gardens	12	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Cotman Gardens.pdf
Downhill Old Quarry	13	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Downhill Old Quarry ST(22).pdf
Elliscope Farm East/ Hylton Bridge	14	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Elliscope Farm East_Hylton Bridge (ST39  ST17).pdf
Follingsby	15	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Follingsby (ST19).pdf
Harton Downhill	16	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Harton Downhill (ST1).pdf
Hebburn Riverside	17	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Hebburn Riverside (ST41).pdf
Hedworth Dene	18	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Hedworth Dene (ST35).pdf
Inverness Road	19	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Inverness Road Jarrow (ST36).pdf
Black Plantation	2	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Black Plantation.pdf
Jarrow Slake Mud Flats	20	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Jarrow Slake Mud Flats (ST32).pdf
Kitchener Road	21	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Kitchener Road.pdf
Lakeside Inn	22	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Lakeside Inn Felling (ST42).pdf
Lizard Lane Cutting	23	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Lizard Lane Cutting.pdf
Low House Copse	24	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Low House Copse (ST43).pdf
Make-Me-Rich Meadow	25	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Make Me Rich Meadow (ST15).pdf
Marsden Limekilns	26	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Marsden Limekilns (ST6).pdf
Marsden Old Quarry	27	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Marsden Old Quarry (ST43).pdf
Marsden Quarry	28	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Marsden Quarry.pdf
Monkton Pond and Wood	29	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Monkton Pond and Wood.pdf
Boldon Colliery Former Railway Line	3	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Boldon Colliery Former Railway Line (ST29).pdf
Mount Pleasant Marsh	30	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Mount Pleasant Marsh (ST12).pdf
Newton Garths	31	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Newton Garths.pdf
Primrose	32	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Primrose Nature Reserve (ST34).pdf
Primrose Nature Reseve	32	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\Primrose Nature Reserve (ST34).pdf
"River Don, East House"	33	South Tyneside	C:\ERIC\LWS Citations\Durham\LWS Citations\South Tyneside\PDFs\River Don East House.pdf
