SITENAME	SITEID	Local Authority	Filename including path
East Farm Pond	2.4	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\East Farm Pond_lws_2_4.pdf
Sacriston Wood	2.5	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\Sacriston Wood_lws_2_5 complete.pdf
Lumley Woods	2.6	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\Lumley Woods_lws_2_6.pdf
Forgebank Wood	2.7	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\Forgebank Woods_lws_2_7.pdf
Pelaw Hill Railway	2.8	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\Pelaw Hill_lws_2_8.pdf
Chester Dene	2.9	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\Chester Dene_lws_2_9.pdf
Garden House Plantation	3.0.1	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.0.1 Garden House Plantation.pdf
Blackdene Mine Railway	3.0.2	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.0.2 Blackdene Mine Railway.pdf
Bridge End Railway	3.0.3	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.0.3 Bridge End Railway.pdf
"Meadow, West Green Head"	3.0.4	Durham	"C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.0.4 Meadow, West Green Head.pdf"
Sunderland Cleugh	3.0.5	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.0.5 Sunderland Cleugh.pdf
Listera Moorland	3.0.7	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.0.7 Listera Moorland.pdf
Sedling Plain Meadow	3.1	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.1 Sedling Plain Meadow.pdf
Wolsingham River Gravels	3.10	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.10 Wolsingham River Gravels.pdf
Willow Green Gill Wood	3.11	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.11 Willow Green Gill Wood.pdf
Ireshopeburn	3.12	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.12 Ireshopeburn.pdf
Houselop Beck Wood	3.13	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.13 Houselop Beck Wood.pdf
Thornhope Beck Wood	3.14	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.14 Thornhope Beck Wood.pdf
Swinhope Moor	3.15	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.15 Swinhope Moor.pdf
Fendrith Hill	3.16	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.16 Fendrith Hill.pdf
Ambling Gate Bank	3.17	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.17 Ambling Gate Bank.pdf
Tunstall Reservoir	3.18	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.18 Tunstall Reservoir.pdf
Baal Hill Wood	3.19	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.19 Baal Hill Wood.pdf
Pedam's Oak	3.2	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.2 Pedam's Oak.pdf
Stanhope Dene	3.20	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.20 Stanhope Dene.pdf
River Wear Harperley	3.21	Durham	"C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.21 River Wear, Harperley.pdf"
Horsley Burn Wood	3.22	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.22 Horsley Burn Wood.pdf
Shittlehope Burn Wood	3.23	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.23 Shittlehope Burn Wood.pdf
Page Bank Pond	3.25	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.25 Page Bank Pond.pdf
"'Fylands', River Gaunless"	3.27	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.27 Flylands River Gaunless.pdf
Harehope Burn Wood	3.28	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.28 Harehope Burn Wood.pdf
Beldon Burn	3.29	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.29 Beldon Burn.pdf
Derwent Reservoir	3.3	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.3 Derwent Reservoir.pdf
Mcneil Bottoms	3.30	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.30 McNeil Bottoms.pdf
Parson Byers Quarries	3.31	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.31 Parson Byers Quarry.pdf
Witton Bottoms Woodland	3.32	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.32 Witton Bottoms Woodland.pdf
Witton Park Wetland	3.33	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.33 Witton Park Wetland.pdf
Cobey's Carr	3.34	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.34 Cobeys Carr.pdf
Puddingthorne Quarries	3.35	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.35 Puddingthorn quarries.pdf
Stanley Beck Meadows	3.36	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.36 Stanley Beck Meadows.pdf
Escomb Pastures	3.37	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.37 Escomb Pastures.pdf
Bellburn Wood	3.38	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.38 Bellburn Wood.pdf
Burnhope Burn juniper site	3.39	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.39 Burnhope Burn Juniper Site.pdf
Nookton Wood	3.4	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.4 Nookton Wood.pdf
Coal Road	3.40	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.40 Coal Road.pdf
Rushy Lea	3.41	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.41 Rushy Lea.pdf
Bellburn Swamp	3.42	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.42 Bellburn Swamp.pdf
Lands Farm Wall	3.43	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.43 Lands Farm Wall.pdf
Pow Hil Meadow	3.44	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.44 Pow Hill Meadow.pdf
Ruffside Pasture	3.45	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.45 Ruffside Pasture.pdf
Willington North Dene	3.46	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.46 Willington North Dene.pdf
Brack's Wood	3.47	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.47 Brack's wood.pdf
"Bolt's Burn, Ramshaw"	3.48	Durham	"C:\ERIC\LWS Citations\Durham\LWS Citations\Wear Valley - 3\PDF's For Data Search\3.48 Bolt's Burn, Ramshaw.pdf"
